;index;time_index;tv_volume;tv_spend;search_clicks;search_imps;search_matching_query_volume;search_query_volume;search_spend;total_spend;brand_sales;competitor_sales;revenue;profit;tv_budget_index;tv_budget;search_budget_index;search_budget;country_number;tv_spend;tv_spend_lag1;tv_spend_lag13;tv_spend_lag52;search_spend;search_spend_lag1;search_spend_lag13;search_spend_lag52
0;53;53;284137404;1420883.06653514;0;0;4658764;20708093;0.0;1420883.06653514;1899415;9806075;151953200;150532316.933465;2;47500000.0;2;12000000.0;0;1420883.06653514;0.0;4575868.46112157;0.0;0.0;0.0;0.0;0.0
1;54;54;0;0.0;328269;4203416;4203416;18687556;361095.9;361095.9;1592632;8861637;127410560;127049464.1;2;47500000.0;2;12000000.0;0;0.0;1420883.06653514;0.0;2265947.04057116;361095.9;0.0;174152.0;205709.9
2;55;55;447933793;2239667.05725837;343854;4378880;4378880;19455737;378239.4;2617906.45725837;1795083;9167837;143606640;140988733.54274198;2;47500000.0;2;12000000.0;0;2239667.05725837;0.0;4744749.59539832;0.0;378239.4;361095.9;178263.8;206024.5
3;56;56;0;0.0;288150;3755722;3755722;16695263;316965.0;316965.0;1399451;7770607;111956080;111639115.0;2;47500000.0;2;12000000.0;0;0.0;2239667.05725837;0.0;4927662.36012133;316965.0;378239.4;155040.6;169633.2
4;57;57;0;0.0;287205;3756963;3756963;16689081;315925.5;315925.5;1396864;7772467;111749120;111433194.5;2;47500000.0;2;12000000.0;0;0.0;0.0;700050.629277045;0.0;315925.5;316965.0;147202.0;196198.2
5;58;58;856252553;4281165.15048561;365821;4626002;4626002;20552734;402403.1;4683568.2504856;1931013;9739244;154481040;149797471.74951398;2;47500000.0;2;12000000.0;0;4281165.15048561;0.0;0.0;3355319.55413513;402403.1;315925.5;159632.0;173867.1
6;59;59;0;0.0;339222;4330494;4330494;19235607;373144.2;373144.2;1646647;9154009;131731760;131358615.8;2;47500000.0;2;12000000.0;0;0.0;4281165.15048561;0.0;0.0;373144.2;402403.1;167817.1;165727.1
7;60;60;607014084;3034914.72732278;349576;4445524;4445524;19757354;384533.6;3419448.32732278;1839278;9321158;147142240;143722791.672677;2;47500000.0;2;12000000.0;0;3034914.72732278;0.0;1899008.40965137;2047433.08377982;384533.6;373144.2;158604.6;168782.9
8;61;61;0;0.0;358916;4557108;4557108;20260521;394807.6;394807.6;1749144;9721110;139931520;139536712.4;2;47500000.0;2;12000000.0;0;0.0;3034914.72732278;0.0;91774.1161651346;394807.6;384533.6;192838.8;172297.4
9;62;62;97865241;489389.12698137295;290732;3802415;3802415;16904070;319805.2;809194.326981373;1467308;7845203;117384640;116575445.67301899;2;47500000.0;2;12000000.0;0;489389.12698137295;0.0;6899450.76726408;0.0;319805.2;394807.6;188336.5;149762.8
